product_name,category,content,embedding_text,created_at
Red Onion (ሃበሻ),storage,"Store in cool, dry place with good air circulation. Can last 2-3 months when properly stored.","Red Onion (ሃበሻ) storage: Store in cool, dry place with good air circulation. Can last 2-3 months when properly stored.",2025-10-16 09:49:30
Red Onion (ሃበሻ),nutrition,"Rich in vitamin C, vitamin B6, and antioxidants. Low in calories, about 40 calories per 100g.","Red Onion (ሃበሻ) nutrition: Rich in vitamin C, vitamin B6, and antioxidants. Low in calories, about 40 calories per 100g.",2025-10-16 09:49:30
Red Onion (ሃበሻ),recipes,"Essential for Ethiopian dishes like Doro Wat, Shiro, and Tibs. Can be used raw in salads or cooked.","Red Onion (ሃበሻ) recipes: Essential for Ethiopian dishes like Doro Wat, Shiro, and Tibs. Can be used raw in salads or cooked.",2025-10-16 09:49:30
Red Onion (ሃበሻ),selection,"Choose firm onions with dry, papery skin. Avoid soft spots or sprouting onions.","Red Onion (ሃበሻ) selection: Choose firm onions with dry, papery skin. Avoid soft spots or sprouting onions.",2025-10-16 09:49:30
Red Onion (ሃበሻ),seasonality,"Peak season: October to January. Lower prices during harvest, higher in rainy season.","Red Onion (ሃበሻ) seasonality: Peak season: October to January. Lower prices during harvest, higher in rainy season.",2025-10-16 09:49:30
Tomato,storage,"Store at room temperature until ripe, then refrigerate. Use within 1 week after ripening.","Tomato storage: Store at room temperature until ripe, then refrigerate. Use within 1 week after ripening.",2025-10-16 09:49:30
Tomato,nutrition,"High in vitamin C, potassium, and lycopene. About 18 calories per 100g.","Tomato nutrition: High in vitamin C, potassium, and lycopene. About 18 calories per 100g.",2025-10-16 09:49:30
Tomato,recipes,"Perfect for salads, sauces, and stews. Key ingredient in Ethiopian Sega Wat.","Tomato recipes: Perfect for salads, sauces, and stews. Key ingredient in Ethiopian Sega Wat.",2025-10-16 09:49:30
Tomato,selection,"Choose bright red, firm tomatoes. Avoid bruises or soft spots.","Tomato selection: Choose bright red, firm tomatoes. Avoid bruises or soft spots.",2025-10-16 09:49:30
Tomato,seasonality,Best quality during dry seasons. Prices increase in rainy months.,Tomato seasonality: Best quality during dry seasons. Prices increase in rainy months.,2025-10-16 09:49:30
Avocado,storage,"Store at room temperature until ripe, then refrigerate 2-3 days.","Avocado storage: Store at room temperature until ripe, then refrigerate 2-3 days.",2025-10-16 09:49:30
Avocado,nutrition,"Rich in healthy fats, fiber, and potassium. About 160 calories per 100g.","Avocado nutrition: Rich in healthy fats, fiber, and potassium. About 160 calories per 100g.",2025-10-16 09:49:30
